date,cpp,python,combined
2026-06-14,0.00,34.13,34.13
2026-06-15,55.89,30.58,55.10
2026-06-16,55.89,30.58,55.10
2026-06-23,55.89,30.54,55.09
2026-06-30,55.93,28.72,54.98
2026-07-07,55.93,27.81,54.92
2026-07-07,89.19,27.81,83.47
