language,file,covered,total,percentage
cpp,eos/rare-b-decays/b-to-kstar-ll-bfs2004.hh,0,6,0.00
cpp,eos/rare-b-decays/b-to-kstar-ll-gp2004.cc,95,95,100.00
cpp,eos/rare-b-decays/b-to-kstar-ll-gp2004.hh,0,14,0.00
cpp,eos/rare-b-decays/b-to-kstar-ll-gvdv2020.cc,87,145,60.00
cpp,eos/rare-b-decays/b-to-kstar-ll-gvdv2020.hh,1,1,100.00
cpp,eos/rare-b-decays/b-to-kstar-ll-impl.hh,17,17,100.00
cpp,eos/rare-b-decays/b-to-kstar-ll-naive.cc,10,144,6.94
cpp,eos/rare-b-decays/b-to-kstar-ll-naive.hh,1,1,100.00
cpp,eos/rare-b-decays/b-to-kstar-ll.cc,180,318,56.60
cpp,eos/rare-b-decays/b-to-ll.cc,75,77,97.40
cpp,eos/rare-b-decays/b-to-psd-nu-nu.cc,84,93,90.32
cpp,eos/rare-b-decays/b-to-vec-nu-nu.cc,101,127,79.53
cpp,eos/rare-b-decays/bremsstrahlung.cc,94,106,88.68
cpp,eos/rare-b-decays/bs-to-phi-charmonium.cc,50,90,55.56
cpp,eos/rare-b-decays/bs-to-phi-ll-base.cc,29,30,96.67
cpp,eos/rare-b-decays/bs-to-phi-ll-bfs2004.cc,206,235,87.66
cpp,eos/rare-b-decays/bs-to-phi-ll-bfs2004.hh,0,6,0.00
cpp,eos/rare-b-decays/bs-to-phi-ll-gvdv2020.cc,85,110,77.27
cpp,eos/rare-b-decays/bs-to-phi-ll-gvdv2020.hh,1,1,100.00
cpp,eos/rare-b-decays/bs-to-phi-ll-naive.cc,9,109,8.26
cpp,eos/rare-b-decays/bs-to-phi-ll-naive.hh,1,1,100.00
cpp,eos/rare-b-decays/bs-to-phi-ll.cc,245,477,51.36
cpp,eos/rare-b-decays/em-contributions.cc,43,43,100.00
cpp,eos/rare-b-decays/inclusive-b-to-s-dilepton.cc,213,221,96.38
cpp,eos/rare-b-decays/inclusive-b-to-s-gamma.cc,303,336,90.18
cpp,eos/rare-b-decays/lambda-b-to-lambda-dilepton.cc,371,654,56.73
cpp,eos/rare-b-decays/lambda-b-to-lambda-nu-nu-impl.hh,3,7,42.86
cpp,eos/rare-b-decays/lambda-b-to-lambda-nu-nu.cc,26,66,39.39
cpp,eos/rare-b-decays/lambda-b-to-lambda1520-gamma-base.cc,16,16,100.00
cpp,eos/rare-b-decays/lambda-b-to-lambda1520-gamma-naive.cc,21,21,100.00
cpp,eos/rare-b-decays/lambda-b-to-lambda1520-gamma-naive.hh,1,1,100.00
cpp,eos/rare-b-decays/lambda-b-to-lambda1520-gamma.cc,25,28,89.29
cpp,eos/rare-b-decays/lambda-b-to-lambda1520-ll-base.cc,23,23,100.00
cpp,eos/rare-b-decays/lambda-b-to-lambda1520-ll-naive.cc,56,56,100.00
cpp,eos/rare-b-decays/lambda-b-to-lambda1520-ll.cc,24,281,8.54
cpp,eos/rare-b-decays/lambda-b-to-lambda1520-ll.hh,0,14,0.00
cpp,eos/rare-b-decays/observables.cc,1081,1081,100.00
cpp,eos/rare-b-decays/qcdf-integrals-analytical.cc,1734,1956,88.65
cpp,eos/rare-b-decays/qcdf-integrals-impl.hh,10,10,100.00
cpp,eos/rare-b-decays/qcdf-integrals-mixed.cc,24,24,100.00
cpp,eos/rare-b-decays/qcdf-integrals-numerical.cc,102,108,94.44
cpp,eos/rare-b-decays/signal-pdfs.cc,34,34,100.00
cpp,eos/rare-c-decays/lambda-c-to-proton-l-l.cc,168,188,89.36
cpp,eos/rare-c-decays/observables.cc,50,50,100.00
cpp,eos/reference.cc,89,127,70.08
cpp,eos/reference.hh,9,10,90.00
cpp,eos/s-decays/k-to-l-nu.cc,38,40,95.00
cpp,eos/s-decays/k-to-pi-l-nu.cc,74,190,38.95
cpp,eos/s-decays/observables.cc,30,30,100.00
cpp,eos/scattering/ee-to-ccbar.cc,163,260,62.69
cpp,eos/scattering/ee-to-ccbar.hh,59,63,93.65
cpp,eos/scattering/observables.cc,102,102,100.00
cpp,eos/scattering/parametric-gmkprdey2011.cc,159,189,84.13
cpp,eos/scattering/parametric-hkvt2025.cc,86,139,61.87
cpp,eos/scattering/parametric-hkvt2025.hh,13,13,100.00
cpp,eos/scattering/scattering-amplitudes.cc,3,3,100.00
cpp,eos/scattering/single-channel.cc,10,24,41.67
cpp,eos/signal-pdf-impl.hh,18,18,100.00
cpp,eos/signal-pdf.cc,99,109,90.83
cpp,eos/signal-pdf.hh,2,2,100.00
cpp,eos/statistics/goodness-of-fit.cc,37,38,97.37
cpp,eos/statistics/log-likelihood.cc,682,733,93.04
cpp,eos/statistics/log-likelihood.hh,32,32,100.00
cpp,eos/statistics/log-posterior.cc,56,56,100.00
cpp,eos/statistics/log-prior.cc,436,465,93.76
cpp,eos/statistics/log-prior.hh,1,1,100.00
cpp,eos/statistics/test-statistic.cc,11,17,64.71
cpp,eos/tau-decays/observables.cc,51,51,100.00
cpp,eos/tau-decays/tau-to-k-nu.cc,37,39,94.87
cpp,eos/tau-decays/tau-to-k-pi-nu.cc,94,105,89.52
cpp,eos/utils/cartesian-product.hh,56,57,98.25
cpp,eos/utils/concrete-cacheable-observable.hh,164,196,83.67
cpp,eos/utils/concrete-signal-pdf.cc,54,68,79.41
cpp,eos/utils/concrete-signal-pdf.hh,13,13,100.00
cpp,eos/utils/concrete_observable.hh,63,67,94.03
cpp,eos/utils/condition_variable.cc,17,17,100.00
cpp,eos/utils/density.cc,1,1,100.00
cpp,eos/utils/destringify.cc,0,3,0.00
cpp,eos/utils/destringify.hh,45,58,77.59
cpp,eos/utils/diagnostics.cc,13,13,100.00
cpp,eos/utils/exception.cc,31,64,48.44
cpp,eos/utils/expression-cacher.hh,1,1,100.00
cpp,eos/utils/expression-kinematic-reader.hh,2,2,100.00
cpp,eos/utils/expression-maker.hh,1,1,100.00
cpp,eos/utils/expression-observable.cc,67,86,77.91
cpp,eos/utils/expression-observable.hh,16,18,88.89
cpp,eos/utils/expression-parser-impl.hh,34,36,94.44
cpp,eos/utils/expression-parser.cc,9,9,100.00
cpp,eos/utils/expression-referenced-names-reader.hh,2,2,100.00
cpp,eos/utils/expression-used-kinematics-reader.hh,2,2,100.00
cpp,eos/utils/expression-used-parameter-reader.hh,2,2,100.00
cpp,eos/utils/expression-visitors.cc,274,415,66.02
cpp,eos/utils/expression.cc,29,34,85.29
cpp,eos/utils/expression.hh,40,40,100.00
cpp,eos/utils/gsl-hacks.cc,5,14,35.71
cpp,eos/utils/indirect-iterator-impl.hh,21,21,100.00
cpp,eos/utils/instantiation_policy-impl.hh,25,25,100.00
cpp,eos/utils/instantiation_policy.hh,2,2,100.00
